factor,ic,rank_ic
pb_score,0.044969902642623884,0.06514631048345292
moneyflow_score,0.03497265588685494,0.04983824893240981
pe_score,0.01655712500205298,0.02837262183439828
roe_score,-0.018378495551698678,-0.019496730233201517
momentum_score,-0.023861568176493236,-0.03946722807589008
margin_score,-0.04882070719644492,-0.04746744234559078
